Before/After2,Before/After,Direct searche_BA,Website action_BA,Directions actions_BA,GMB call actions_BA,Owner photo views_BA,Customer photo views_BA,Direct searches_OB,Website actions_OB,Directions actions_OB,GMB call actions_OB,Owner photo views_OB,Customer photo views_OB,Direct searches_OT,Website actions_OT,Directions actions_OT,GMB call actions_OT,Owner photo views_OT,Customer photo views_OT,Direct searches_NT,Website actions_NT,Directions actions_NT,GMB call actions_NT,Owner photo views_NT,Customer photo views_NT,Direct searches_Flp,Website actions_Flp,Directions actions_Flp,GMB call actions_Flp,Owner photo views_Flp,Customer photo views_Flp,Direct searches_MS,Website actions_MS,Directions actions_MS,GMB call actions_MS,Owner photo views_MS,Customer photo views_MS,Direct searches_Crm,Website actions_Crm,Directions actions_Crm,GMB call actions_Crm,Owner photo views_Crm,Customer photo views_Crm,Direct searches_Ti,Website actions_Ti,Directions actions_Ti,GMB call actions_Ti,Owner photo views_Ti,Customer photo views_Ti,Direct searches_JC,Website actions_JC,Directions actions_JC,GMB call actions_JC,Owner photo views_JC,Customer photo views_JC,,,,,
Before,1,119,18,39,18,1051,1718,83,15,6,3,0,682,22,2,5,5,37,2,71,0,11,6,689,461,39,12,5,8,0,459,26,0,3,0,128,130,333,30,36,11,0,1042,47,16,21,9,548,931,25,4,6,5,,,,,,,
Before,1,114,15,59,9,1329,2021,107,19,8,9,0,1071,5,0,0,0,6,0,48,0,6,6,495,612,23,5,10,3,0,404,24,0,3,0,191,205,766,67,72,17,0,2536,45,15,22,10,747,960,57,13,14,5,,,,,,,
Before,1,143,23,60,13,1157,1783,180,17,21,9,0,1197,4,0,1,1,12,0,37,0,5,4,321,435,26,2,5,5,0,398,92,0,3,2,151,152,642,75,74,4,0,3577,46,24,8,9,453,889,38,10,16,6,453,1485,,,,,
Before,1,147,29,51,17,1628,2077,90,19,8,4,0,1288,3,0,0,0,10,0,26,0,4,2,326,355,13,6,3,1,0,327,104,0,2,2,169,188,696,67,52,12,0,4352,56,20,13,4,1598,1267,46,6,19,4,585,1381,,,,,
Before,1,135,26,65,18,1151,1932,90,12,7,0,0,1187,1,0,0,0,4,0,28,0,3,7,326,398,56,14,6,9,0,455,62,0,3,5,155,180,,,,,,,60,7,21,25,837,1011,33,10,6,3,227,951,,,,,
Before,1,238,31,83,35,2028,3037,78,12,4,4,0,680,9,3,0,1,13,0,27,0,12,2,424,562,61,13,2,18,0,602,64,0,3,0,109,101,,,,,,,35,16,16,14,1418,1191,39,10,13,2,343,1226,,,,,
Before,1,422,77,136,64,4112,5670,102,15,8,4,0,999,18,1,4,2,48,2,164,0,7,5,531,513,77,20,9,14,0,1024,75,0,8,1,183,194,,,,,,,50,13,12,15,715,1023,46,5,9,5,196,988,,,,,
Before,1,259,45,67,47,1854,2899,77,12,6,5,0,679,6,0,1,1,26,0,111,0,2,6,655,770,44,14,4,9,0,815,59,0,3,1,89,83,,,,,,,60,12,13,10,1107,874,66,19,21,10,,,,,,,
Before,1,170,19,62,12,2138,3209,122,13,6,2,0,568,15,2,0,1,25,1,115,0,7,7,496,608,45,10,5,4,0,323,51,0,7,4,197,187,,,,,,,40,7,12,3,709,827,65,13,26,4,727,1791,,,,,
Before,1,173,26,71,17,1863,2825,151,10,4,2,0,913,18,0,0,5,18,1,210,0,2,6,354,341,42,6,3,6,0,372,38,0,2,4,94,111,,,,,,,52,16,5,9,850,907,65,23,15,3,,,,,,,
Before,1,140,16,59,10,,,76,17,11,7,0,1064,1,0,0,0,2,0,262,0,6,4,399,414,44,7,14,8,0,457,130,0,2,3,84,64,,,,,,,55,16,9,12,490,867,31,6,11,2,216,1003,,,,,
Before,1,192,29,72,18,2117,3362,66,16,7,8,0,1102,4,0,1,1,6,0,277,0,2,4,411,384,67,10,4,17,0,568,91,0,4,1,105,105,,,,,,,77,6,18,9,892,1047,37,12,10,6,433,1260,,,,,
Before,1,216,26,106,14,2144,3476,118,10,3,1,0,1661,14,0,0,2,18,1,210,0,8,8,392,328,48,8,3,12,0,657,122,0,4,4,177,170,,,,,,,41,15,3,9,1060,1069,55,10,22,30,820,2001,,,,,
Before,1,187,37,63,19,2319,4028,77,9,6,4,0,942,20,4,0,5,33,0,166,0,2,7,531,365,47,10,2,8,0,930,89,0,3,1,135,110,,,,,,,43,17,16,8,949,1073,40,8,10,2,431,1347,,,,,
Before,1,111,24,42,11,1006,1834,83,10,12,4,0,889,8,0,3,3,34,2,121,0,9,8,599,644,33,7,2,11,0,602,78,0,4,2,131,147,,,,,,,53,20,22,13,500,858,43,14,11,3,670,1710,,,,,
Before,1,130,23,48,19,1211,1970,97,14,6,5,0,1548,8,3,0,1,29,3,132,0,3,5,558,545,41,2,1,2,0,490,43,0,5,3,150,148,,,,,,,58,20,28,6,791,901,69,13,25,9,,,,,,,
Before,1,128,20,44,10,1593,2311,112,15,12,7,0,1112,9,1,0,0,9,0,136,0,2,2,331,238,64,12,10,5,0,401,37,0,1,1,166,163,,,,,,,55,10,20,5,492,795,76,13,29,12,724,1893,,,,,
Before,1,130,25,55,15,1194,2291,56,13,10,2,0,1450,0,0,0,0,4,0,185,0,9,6,399,274,72,11,7,5,0,607,109,0,2,0,166,195,,,,,,,65,15,21,12,622,959,36,9,9,6,,,,,,,
Before,1,188,25,70,25,1826,3007,65,13,9,2,0,1636,1,2,1,0,16,1,158,0,7,8,436,304,41,10,4,3,0,409,63,0,0,0,167,140,,,,,,,58,12,19,8,610,942,30,13,6,3,391,1162,,,,,
Before,1,601,83,167,37,3525,5388,88,9,6,8,0,683,24,1,3,3,41,2,162,0,5,2,522,430,97,14,2,5,0,860,96,0,3,2,226,209,,,,,,,76,15,15,8,1064,1089,37,12,13,7,207,1055,,,,,
Before,1,336,43,91,29,2459,3934,66,8,15,6,0,1001,15,5,9,6,63,4,242,0,9,6,815,460,60,15,6,13,0,1132,60,0,8,2,221,226,,,,,,,70,23,8,7,1024,1028,39,11,8,2,237,1112,,,,,
Before,1,305,15,60,14,1497,2454,56,14,4,4,0,521,14,0,4,1,56,1,207,0,12,2,945,702,63,18,4,7,0,916,15,0,1,2,186,186,,,,,,,77,15,13,7,580,857,44,15,22,3,310,1326,,,,,
Before,1,390,15,44,10,922,1812,54,18,4,2,0,1050,4,2,0,1,24,6,95,0,12,4,690,701,56,5,2,3,0,554,4,0,1,1,203,171,,,,,,,174,20,15,9,1134,1049,59,17,17,16,,,,,,,
Before,1,510,26,39,16,1141,2070,62,7,6,6,0,877,3,0,0,1,13,1,218,0,4,1,437,320,43,4,5,2,0,356,10,0,3,0,132,111,,,,,,,217,9,16,8,614,845,54,11,26,6,611,1887,,,,,
Before,1,504,14,57,14,1354,2078,96,19,1,3,0,991,7,0,2,1,21,1,189,0,2,1,409,387,71,8,8,5,0,471,3,0,1,3,106,83,,,,,,,198,15,21,10,761,933,55,15,6,6,,,,,,,
Before,1,462,24,75,17,2255,3480,93,16,6,7,0,1409,2,2,0,2,16,1,148,0,5,10,418,358,69,9,5,5,0,576,6,0,5,3,199,205,,,,,,,175,20,18,11,593,980,34,6,3,7,430,1215,,,,,
Before,1,709,68,159,23,4199,6300,98,14,3,7,0,703,9,1,0,4,20,0,189,0,3,1,431,473,62,22,7,5,0,689,71,0,5,1,232,241,,,,,,,114,8,4,7,612,902,51,7,6,6,,,,,,,
Before,1,431,26,87,17,3130,3903,101,9,14,12,0,655,18,1,4,3,20,0,222,0,23,5,574,537,78,20,8,12,0,898,123,0,1,1,134,164,,,,,,,127,22,20,12,1179,1303,47,15,6,5,494,1333,,,,,
Before,1,508,13,44,11,1372,2276,121,14,5,5,0,769,17,2,0,4,43,1,108,0,3,9,732,735,42,13,4,5,0,663,98,0,3,1,154,174,,,,,,,217,13,13,9,521,836,58,18,20,5,,,,,,,
Before,1,549,19,71,17,977,1920,105,18,8,8,0,869,12,0,1,1,20,3,147,1,1,4,473,331,82,7,0,6,0,384,44,0,6,0,242,241,,,,,,,188,9,11,2,359,705,61,14,11,4,646,1874,,,,,
Before,1,401,17,56,13,1714,2041,78,28,8,3,0,767,3,0,0,5,17,0,229,4,7,5,383,332,33,7,3,2,0,510,38,0,4,1,150,153,,,,,,,184,15,10,8,514,769,79,23,28,5,718,1954,,,,,
Before,1,390,20,36,12,,,73,17,5,12,0,1052,1,0,0,0,6,0,173,4,3,6,371,393,38,7,1,5,0,645,98,0,4,2,279,286,,,,,,,253,29,13,4,688,850,32,8,2,2,,,,,,,
Before,1,496,23,69,37,2191,3622,78,14,5,10,0,934,2,0,0,0,7,0,229,5,4,8,416,417,65,9,5,6,0,557,71,0,7,3,143,126,,,,,,,181,18,24,4,663,931,35,7,3,3,330,1271,,,,,
Before,1,371,40,81,22,2362,3952,77,9,4,2,0,975,20,0,0,3,29,1,166,3,4,5,385,313,63,16,7,14,0,881,76,0,7,1,210,131,,,,,,,107,9,13,4,388,840,84,20,8,11,,,,,,,
Before,1,353,29,78,16,2958,3918,132,13,8,1,0,643,6,2,0,1,20,2,239,15,19,10,664,638,74,18,7,12,0,720,89,0,1,2,132,64,,,,,,,140,20,13,18,415,813,36,8,9,3,650,1623,,,,,
Before,1,466,28,37,11,1328,2026,85,11,2,6,0,661,4,1,0,3,21,0,153,12,12,5,827,1073,50,12,2,7,0,703,94,0,2,1,232,115,,,,,,,242,16,28,13,901,861,46,7,12,6,838,2022,,,,,
Before,1,435,22,50,6,896,1700,85,14,6,2,0,619,4,1,0,0,39,4,118,11,15,13,706,959,39,7,2,2,0,581,48,0,1,2,166,86,,,,,,,215,10,12,9,1045,958,71,21,24,9,,,,,,,
Before,1,469,29,48,8,1656,2673,74,14,13,2,0,1102,8,1,0,0,16,0,187,3,6,5,356,587,61,8,4,4,0,563,46,0,4,0,152,89,,,,,,,201,10,23,5,426,710,70,26,27,4,,,,,,,
Before,1,587,28,84,16,2403,3492,63,10,4,2,0,775,2,0,0,0,19,2,135,2,5,3,331,368,53,12,7,5,0,0,72,0,11,0,239,190,,,,,,,225,15,20,9,862,810,37,13,6,1,366,1104,,,,,
Before,1,502,39,78,29,2450,4156,81,15,6,7,0,1393,2,0,0,0,3,0,235,2,13,1,0,0,101,8,4,7,0,643,74,0,0,0,155,64,,,,,,,173,19,8,7,714,907,45,11,11,9,308,1126,,,,,
Before,1,411,49,85,26,,,90,15,9,3,0,872,8,4,0,3,17,0,241,3,12,4,443,492,100,16,4,11,0,1166,90,0,1,4,0,0,,,,,,,135,14,18,8,651,892,48,18,21,1,,,,,,,
Before,1,373,38,66,23,,,64,7,11,2,0,473,18,1,2,8,70,4,294,5,11,2,555,619,57,19,3,9,0,837,92,0,6,3,212,117,,,,,,,125,10,21,21,434,893,63,14,10,24,721,1493,,,,,
Before,1,416,39,60,37,,,77,6,8,3,0,601,12,1,5,3,49,3,183,9,14,6,665,802,56,17,2,11,0,1058,68,0,5,0,218,144,,,,,,,144,30,18,20,989,1110,39,10,6,7,604,1504,,,,,
Before,1,479,14,50,17,768,1577,50,11,7,3,0,666,12,0,0,3,26,0,108,7,7,3,508,663,66,10,3,9,0,407,46,0,4,4,257,204,,,,,,,189,12,12,12,531,699,54,12,19,4,681,1605,,,,,
Before,1,353,9,39,7,1303,2008,95,9,8,4,0,1279,3,0,0,1,16,1,232,11,3,3,346,427,78,14,1,15,0,650,38,0,1,0,110,37,,,,,,,212,17,11,7,1041,896,81,25,17,7,963,1918,,,,,
Before,1,435,20,43,12,,,50,13,5,2,0,1206,1,1,0,0,4,1,233,7,8,4,491,380,41,8,0,9,0,648,90,0,2,6,285,215,,,,,,,187,11,18,5,626,792,36,8,4,3,586,1264,,,,,
Before,1,632,35,98,9,,,80,15,7,1,0,914,2,3,0,0,11,0,222,9,7,3,405,524,51,12,5,6,0,582,120,0,4,5,317,284,,,,,,,172,23,8,3,1363,1161,32,11,18,2,277,884,,,,,
Before,1,370,38,85,17,1447,2904,61,20,1,2,0,815,6,0,0,0,10,1,160,4,3,2,402,535,79,15,3,15,0,889,90,0,2,3,160,102,,,,,,,86,16,12,52,548,946,49,18,6,2,316,951,,,,,
Before,1,317,23,68,22,1378,2552,154,21,7,8,0,1077,15,0,1,0,34,1,241,9,2,2,590,907,70,16,0,12,0,815,101,0,3,1,103,79,,,,,,,81,17,5,6,577,871,49,12,15,1,,,,,,,
Before,1,382,26,25,28,,,74,20,5,4,0,709,4,2,2,0,0,0,168,7,7,3,711,844,64,18,5,12,0,1257,73,0,6,1,166,85,,,,,,,182,14,8,15,320,697,63,19,18,1,,,,,,,
Before,1,446,12,40,7,,,98,20,2,4,0,815,7,2,0,0,23,0,116,5,4,5,722,736,71,10,7,5,0,639,47,0,3,2,190,124,,,,,,,200,15,11,2,605,883,100,23,13,5,886,2035,,,,,
Before,1,312,10,32,9,1523,1957,89,25,5,5,0,1040,11,2,1,0,14,1,156,9,5,13,632,1183,45,9,2,16,0,0,32,0,2,3,238,167,,,,,,,182,17,14,10,459,1009,89,13,20,12,809,1866,,,,,
Before,1,445,8,25,7,1249,1866,114,19,10,6,0,1656,9,0,3,4,51,6,217,4,1,1,0,0,100,7,5,10,0,815,13,0,4,5,283,187,,,,,,,258,16,11,14,752,1376,126,11,7,3,619,1540,,,,,
Before,1,424,23,52,12,1356,2415,218,18,11,9,0,1181,1,2,0,0,7,0,176,5,9,3,671,606,71,6,2,1,0,919,82,0,7,5,0,0,,,,,,,166,14,9,14,531,1252,163,8,24,3,833,1889,,,,,
Before,1,355,29,56,18,,,124,29,14,5,0,998,4,0,0,0,15,0,164,4,5,8,784,432,102,14,3,13,0,1138,98,0,4,2,177,67,,,,,,,121,22,13,12,922,1252,158,12,7,0,,,,,,,
Before,1,404,34,76,17,1556,2589,58,15,6,2,0,482,14,1,3,2,29,3,224,5,5,2,1112,556,48,13,1,9,0,1399,79,0,1,1,171,64,,,,,,,104,12,7,11,331,981,158,8,7,3,312,1183,,,,,
Before,1,474,12,44,25,0,0,84,12,7,9,0,0,9,0,5,2,18,1,155,10,8,7,1477,796,83,26,5,12,0,1172,101,0,4,2,354,232,,,,,,,195,12,18,7,0,0,181,15,19,2,392,1314,,,,,
Before,1,435,18,53,14,1635,1734,90,17,8,6,11,1072,4,2,0,0,24,2,129,6,9,3,1063,451,59,9,5,11,0,911,30,0,7,1,299,135,,,,,,,248,17,10,11,870,1080,157,12,19,4,591,1866,,,,,
Before,1,432,23,52,31,,,110,23,6,2,5,1189,1,0,0,0,11,0,166,5,12,7,741,432,71,6,9,4,0,678,35,0,1,3,220,63,,,,,,,218,19,12,10,267,847,273,21,17,8,864,2117,,,,,
Before,1,517,26,80,29,1463,2052,73,10,14,5,4,1214,1,0,0,0,6,0,253,7,12,7,805,433,46,10,4,11,0,974,79,0,2,1,239,87,,,,,,,185,11,16,6,858,1102,233,23,9,6,558,1371,,,,,
Before,1,564,39,119,19,1879,2716,87,14,12,9,1,913,0,0,0,0,1,0,253,3,13,4,774,580,56,6,1,9,0,935,107,0,6,3,234,117,,,,,,,228,21,35,15,489,1209,125,6,3,4,285,1069,,,,,
Before,1,412,27,99,20,2758,4059,36,12,4,4,0,500,0,1,0,0,50,6,198,12,9,5,820,701,45,14,5,13,0,1368,77,0,1,0,203,61,,,,,,,117,13,10,9,1083,1224,168,7,6,0,265,1113,,,,,
Before,1,360,30,63,21,,,59,8,5,3,4,967,12,0,2,2,0,0,252,9,8,11,1128,511,40,12,4,8,0,1792,56,0,4,0,199,73,,,,,,,99,10,14,15,767,998,212,16,11,4,618,1517,,,,,
Before,1,367,12,23,11,1684,1950,61,6,2,4,6,1086,10,0,1,0,39,0,130,13,12,4,1229,752,33,11,2,6,0,1117,102,0,1,1,191,47,,,,,,,339,14,7,11,584,811,148,14,7,5,412,1357,,,,,
Before,1,437,10,31,4,831,1827,74,7,5,2,3,753,3,2,0,0,45,0,125,7,6,15,1098,695,56,9,4,4,0,1024,37,0,5,5,343,165,,,,,,,183,14,10,9,395,748,131,22,12,4,990,2327,,,,,
Before,1,442,17,30,5,1883,2182,72,16,10,5,1,820,5,1,0,2,44,0,244,1,6,1,866,449,72,13,3,6,0,924,40,0,2,1,230,100,,,,,,,299,12,28,11,1096,1107,178,22,24,6,868,2158,,,,,
Before,1,380,15,36,9,737,1754,50,13,4,7,3,755,0,0,0,0,13,0,241,8,4,1,872,835,41,4,23,6,0,882,47,0,0,1,0,181,,,,,,,210,14,9,8,364,749,192,14,6,1,279,1051,,,,,
Before,1,404,16,53,11,999,2313,48,7,5,2,5,1092,0,0,0,0,15,0,206,5,8,4,839,438,71,8,6,11,0,1471,82,0,11,4,0,189,,,,,,,175,16,18,5,1100,1429,197,5,6,2,349,1167,,,,,
Before,1,348,31,67,26,1648,3273,75,11,6,9,4,1107,11,1,0,1,48,0,216,8,13,6,934,377,76,7,9,28,0,1508,78,0,3,2,0,183,,,,,,,77,9,18,7,511,1050,153,9,14,2,471,1382,,,,,
Before,1,287,22,51,10,2590,3004,68,14,10,1,0,0,26,1,6,3,91,1,246,16,15,9,1248,818,33,18,2,10,0,1564,38,0,2,1,0,310,,,,,,,100,10,15,12,822,1056,176,13,14,0,570,1374,,,,,
Before,1,342,9,22,7,760,1263,66,8,8,3,2,863,14,2,4,1,46,0,96,10,6,10,1290,861,26,11,5,9,0,1510,22,0,2,2,0,388,,,,,,,197,17,15,17,698,995,253,13,19,5,858,1960,,,,,
Before,1,276,9,25,8,675,1728,63,12,5,6,3,813,4,0,0,0,25,1,138,12,4,2,1185,727,35,3,6,6,0,844,15,0,2,2,0,429,,,,,,,204,16,10,13,340,871,144,10,9,10,473,1746,,,,,
Before,1,649,38,99,11,,,75,15,6,5,2,829,5,1,0,0,39,8,188,2,4,3,713,314,50,4,1,5,0,1123,19,0,2,0,0,310,,,,,,,90,8,16,6,264,822,156,14,15,7,612,1852,,,,,
Before,1,634,27,61,4,0,0,56,13,6,6,1,1019,1,0,0,1,25,62,232,4,9,1,834,500,35,8,2,8,0,1031,32,0,3,2,0,240,,,,,,,176,11,16,9,0,0,174,27,22,23,,,,,,,
Before,1,865,70,113,21,,,62,5,2,3,0,829,2,0,0,0,17,28,143,5,6,6,865,564,54,14,2,2,0,1095,30,0,9,0,0,326,,,,,,,214,23,15,14,416,1011,201,6,14,2,397,1245,,,,,
Before,1,642,55,140,29,3482,5766,77,11,5,4,0,609,5,1,1,1,97,28,242,6,13,2,878,498,46,24,11,9,0,1576,23,0,4,2,0,413,,,,,,,125,14,10,4,524,961,189,13,10,1,531,1311,,,,,
Before,1,446,32,110,11,2487,4217,62,11,7,6,0,1531,9,1,0,5,114,10,214,5,9,7,1320,497,38,8,2,4,0,1566,38,0,5,0,0,373,,,,,,,153,14,11,10,680,1015,140,9,7,2,460,1290,,,,,
Before,1,440,26,46,7,0,0,61,16,18,4,0,623,11,2,3,1,147,20,123,7,13,4,1328,884,32,6,4,4,0,1263,40,0,3,1,0,691,,,,,,,170,11,13,11,0,0,150,11,12,6,,,,,,,
Before,1,338,24,40,14,1592,2383,69,7,11,3,0,739,12,1,1,1,252,24,105,9,5,3,1254,843,40,3,4,1,0,897,15,0,1,1,0,473,,,,,,,158,8,12,13,483,804,138,13,13,7,711,1960,,,,,
Before,1,472,18,30,4,2573,2747,95,15,10,9,0,1150,10,0,1,2,71,6,200,5,3,5,838,506,54,3,7,17,0,1133,10,0,4,0,0,568,,,,,,,165,17,17,9,448,786,123,13,13,4,713,1806,,,,,
Before,1,411,21,53,5,2447,2763,40,13,2,3,0,1056,9,0,1,1,27,3,183,5,5,0,841,328,57,9,0,7,0,1167,31,0,7,1,0,497,,,,,,,222,11,19,14,642,923,214,9,6,2,347,1106,,,,,
Before,1,569,32,53,14,2205,3638,45,9,8,6,0,1362,0,0,0,0,7,3,188,3,5,3,923,530,48,9,2,5,0,1094,30,0,4,2,0,378,,,,,,,204,18,27,7,612,1024,126,5,3,3,,,,,,,
Before,1,422,41,109,18,2401,4369,42,16,5,1,0,866,0,0,0,0,87,8,151,1,13,4,949,664,38,11,5,6,0,1422,33,0,0,5,0,319,,,,,,,119,19,28,13,1084,1285,158,2,5,2,118,795,,,,,
Before,1,395,20,83,21,0,0,57,15,7,3,0,1214,0,2,3,4,165,53,317,14,9,5,94,509,45,11,0,10,0,1721,36,0,7,1,0,501,,,,,,,140,18,17,20,253,910,139,4,5,3,,,,,,,
Before,1,469,14,29,10,0,0,106,14,7,3,0,935,10,0,2,8,124,47,149,8,8,6,35,660,28,7,0,10,0,1143,18,0,1,0,0,500,,,,,,,249,16,13,14,0,0,158,14,15,10,,,,,,,
Before,1,373,13,48,12,894,1612,76,8,5,2,0,1847,7,0,0,0,62,10,82,4,11,5,32,523,24,7,1,5,0,933,25,0,4,4,0,581,,,,,,,236,23,18,9,960,1067,119,11,17,7,512,1773,,,,,
Before,1,572,22,50,12,1632,2401,64,13,5,5,0,1188,8,0,2,1,49,4,143,12,5,4,46,609,26,6,10,2,0,990,5,0,1,0,0,342,,,,,,,174,17,13,11,966,1224,161,24,17,28,713,2055,,,,,
Before,1,391,15,42,16,750,1486,52,12,4,4,0,1261,7,1,0,1,51,5,155,4,3,4,40,405,48,8,8,8,0,1509,20,0,8,1,0,527,,,,,,,180,14,13,13,634,985,128,9,7,4,,,,,,,
Before,1,509,39,85,13,1916,3499,62,17,8,7,0,1275,5,1,1,0,23,4,122,2,4,7,46,425,37,9,8,15,0,1352,11,0,3,2,0,505,,,,,,,198,13,24,6,508,1033,163,22,7,6,295,1080,,,,,
Before,1,411,37,94,30,1876,3429,34,5,4,1,0,607,9,2,0,2,109,7,69,8,8,13,59,599,45,18,6,28,0,1746,20,0,5,0,0,400,,,,,,,113,11,7,20,654,1152,168,9,6,10,432,1202,,,,,
Before,1,414,32,87,30,2782,4051,50,7,3,1,0,779,12,2,1,1,87,11,187,9,13,1,52,688,54,14,0,7,0,1665,17,0,7,16,0,694,,,,,,,145,17,13,14,677,1175,207,12,11,3,,,,,,,
Before,1,452,30,66,12,4608,4487,45,6,1,1,0,812,10,5,3,2,108,9,87,2,6,3,53,575,34,10,4,10,0,1476,29,0,1,2,0,421,,,,,,,264,16,21,6,385,791,162,16,12,3,,,,,,,
Before,1,566,21,62,8,0,0,57,11,2,4,0,646,8,1,0,2,46,4,141,8,11,8,50,601,39,4,0,2,0,0,13,0,2,0,0,359,,,,,,,188,15,15,17,0,0,186,17,28,7,,,,,,,
Before,1,513,26,76,17,2127,3655,64,23,8,4,0,1093,4,0,0,1,92,17,231,6,6,6,0,0,36,6,2,4,0,1118,10,0,3,1,0,484,,,,,,,179,16,10,13,897,957,144,9,17,16,,,,,,,
Before,1,510,21,75,12,1150,2394,45,8,4,1,0,981,4,0,0,1,94,12,141,7,5,5,1094,355,47,4,1,6,0,1147,32,0,7,4,0,0,,,,,,,253,20,19,11,788,947,143,10,7,16,191,847,,,,,
Before,1,607,36,127,21,3986,5357,50,11,8,3,0,1266,2,0,0,0,31,3,186,7,3,2,1073,380,32,7,4,9,0,1140,31,0,2,1,0,499,,,,,,,228,19,20,16,656,1042,135,13,9,6,216,917,,,,,
Before,1,480,49,115,40,2174,4685,106,25,8,4,1,1138,16,2,1,4,123,6,142,4,8,3,1059,189,35,18,5,11,0,1577,22,0,3,3,0,607,,,,,,,101,19,21,9,483,828,185,12,5,3,250,1245,,,,,
Before,1,392,31,87,12,2438,4476,78,15,6,3,0,698,18,3,0,2,282,21,180,10,4,7,1296,338,27,11,4,6,0,1501,24,0,2,0,0,321,,,,,,,117,18,10,31,719,1019,133,11,7,1,498,1587,,,,,
Before,1,413,20,41,9,652,2009,71,16,8,4,0,754,2,0,0,2,164,18,93,6,10,4,1915,596,51,10,4,4,0,1426,19,0,6,5,0,641,,,,,,,202,22,17,7,572,880,146,12,8,6,415,1411,,,,,
Before,1,324,27,39,8,940,2148,88,5,7,1,0,1169,3,0,0,0,97,8,184,7,13,6,1316,247,42,5,3,5,0,0,15,0,2,0,0,437,,,,,,,138,16,9,13,902,793,142,22,17,15,581,1912,,,,,
Before,1,374,22,48,14,1442,2588,43,16,5,3,0,1100,3,0,1,4,379,28,192,4,9,0,0,0,47,5,0,6,0,1125,34,0,1,0,0,583,,,,,,,180,13,9,5,508,737,132,19,20,4,782,1857,,,,,
After,2,364,28,40,12,1405,2317,37,8,1,1,120,1063,0,0,0,1,156,9,168,10,13,1,1096,145,42,5,5,5,0,0,21,0,1,0,0,0,468,52,42,6,65,3392,160,19,33,8,731,880,179,6,8,5,358,1026,,,,,
