Before/After2,Before/After,Direct searche_BA,Website action_BA,Directions actions_BA,GMB call actions_BA,Owner photo views_BA,Customer photo views_BA,Direct searches_OB,Website actions_OB,Directions actions_OB,GMB call actions_OB,Owner photo views_OB,Customer photo views_OB,Direct searches_OT,Website actions_OT,Directions actions_OT,GMB call actions_OT,Owner photo views_OT,Customer photo views_OT,Direct searches_NT,Website actions_NT,Directions actions_NT,GMB call actions_NT,Owner photo views_NT,Customer photo views_NT,Direct searches_Flp,Website actions_Flp,Directions actions_Flp,GMB call actions_Flp,Owner photo views_Flp,Customer photo views_Flp,Direct searches_MS,Website actions_MS,Directions actions_MS,GMB call actions_MS,Owner photo views_MS,Customer photo views_MS,Direct searches_Crm,Website actions_Crm,Directions actions_Crm,GMB call actions_Crm,Owner photo views_Crm,Customer photo views_Crm,Direct searches_Ti,Website actions_Ti,Directions actions_Ti,GMB call actions_Ti,Owner photo views_Ti,Customer photo views_Ti,Direct searches_JC,Website actions_JC,Directions actions_JC,GMB call actions_JC,Owner photo views_JC,Customer photo views_JC,,,,,
After,2,447,26,52,10,2580,3247,30,6,1,6,39,726,1,1,0,0,140,9,120,3,2,1,0,0,34,8,3,4,1079,493,54,0,4,0,0,379,582,50,62,3,171,4471,163,17,21,12,767,1146,152,7,7,2,309,888,,,,,
After,2,748,26,84,41,,,54,10,3,2,201,822,28,1,0,3,0,0,214,5,14,1,1398,346,52,11,2,11,0,0,22,0,4,8,0,0,692,84,85,18,195,5453,153,20,9,27,503,1008,119,7,7,7,213,757,,,,,
After,2,550,32,64,26,,,54,12,8,3,212,932,11,1,0,1,454,23,176,2,6,5,0,0,30,15,5,9,1570,500,27,0,4,5,0,468,583,64,92,16,101,3600,,,,,,,208,8,12,1,0,0,,,,,
After,2,823,19,36,15,2775,2912,38,15,3,4,233,1265,14,2,7,3,332,18,96,6,1,3,1768,268,34,10,2,10,1191,425,31,0,8,3,0,0,441,37,98,6,131,4392,196,13,12,4,423,765,141,4,12,0,348,1194,,,,,
After,2,990,25,55,9,2117,3781,23,9,2,7,87,618,5,0,0,0,328,24,116,11,8,0,1496,303,50,9,20,2,0,0,16,0,4,1,0,442,351,44,78,3,99,2805,190,13,15,8,486,801,112,20,21,3,,,,,,,
After,2,582,19,48,7,1356,2431,67,21,11,1,421,976,1,0,0,0,125,3,160,4,8,7,0,0,41,4,5,3,843,140,10,0,3,2,0,433,385,56,59,7,75,2562,196,21,6,9,668,902,124,17,28,3,561,1634,,,,,
After,2,472,18,46,8,,,65,12,2,3,245,794,2,0,0,0,25,7,140,3,4,3,1041,109,59,6,7,5,0,0,53,0,2,4,0,0,298,77,91,7,166,6237,213,26,17,3,628,1002,156,9,12,0,0,0,,,,,
After,2,461,36,70,28,2102,2922,39,14,1,2,271,662,0,0,0,0,121,8,117,7,6,2,0,0,41,11,4,4,1000,236,35,0,3,7,0,398,341,52,75,10,125,6117,134,20,8,15,757,1152,122,9,5,2,321,933,,,,,
After,2,479,40,98,29,2255,3923,58,5,0,1,0,0,1,1,0,0,0,0,138,7,8,1,1202,133,58,11,0,8,0,0,19,0,3,0,0,0,380,44,95,5,106,4965,117,14,17,21,532,1077,101,16,9,3,,,,,,,
After,2,363,28,78,34,2511,3234,80,10,12,5,543,745,5,0,3,3,349,8,162,15,10,3,0,0,57,18,4,13,0,0,12,0,6,1,0,705,352,47,76,4,92,3093,189,16,11,8,818,1127,161,9,10,3,289,1263,,,,,
After,2,386,25,54,21,2747,3343,45,23,7,5,392,653,10,1,2,12,0,0,264,2,7,6,0,0,43,16,4,11,1533,533,63,0,8,1,0,0,282,42,52,3,96,2539,177,19,13,9,1073,1049,147,7,9,3,206,1178,,,,,
After,2,384,20,37,6,3683,3394,67,14,4,7,668,902,8,2,1,4,440,17,125,10,3,5,1835,526,19,6,1,1,0,0,30,0,5,5,0,0,267,36,58,6,92,2265,170,27,16,17,366,808,125,18,44,11,,,,,,,
After,2,406,25,37,9,1747,2678,67,22,11,2,273,905,2,1,0,1,0,0,178,5,3,2,0,0,25,4,2,1,0,0,5,0,1,2,0,453,391,56,86,25,88,2617,124,18,8,9,959,1046,128,11,15,14,814,2166,,,,,
After,2,504,28,39,5,941,2056,60,9,5,8,253,952,4,0,1,0,24,0,179,4,7,2,0,0,40,7,1,1,1062,143,17,0,1,2,0,0,347,49,93,9,0,0,215,24,13,20,756,920,176,6,6,3,0,0,,,,,
After,2,415,35,56,20,1924,3434,70,20,7,1,425,996,1,0,0,0,31,0,147,10,3,3,1548,329,16,5,4,9,1218,198,19,0,1,0,0,0,388,39,85,11,99,3399,103,17,14,6,1189,1264,100,3,6,4,435,1438,,,,,
After,2,418,41,128,23,1827,3790,78,12,10,5,0,0,3,2,2,0,0,0,88,4,0,2,1228,214,64,14,7,13,1423,328,46,0,10,2,0,400,313,33,54,1,99,3680,92,10,10,16,702,1045,136,4,6,1,175,1240,,,,,
After,2,323,39,85,32,1678,2946,66,15,5,6,702,995,4,0,4,4,56,0,192,7,15,5,1468,226,50,13,3,7,1621,334,21,0,0,0,0,477,223,46,57,7,84,3509,189,24,12,16,1444,1245,111,7,7,2,188,1431,,,,,
After,2,416,18,69,9,2927,3561,66,18,6,4,0,0,8,2,2,1,0,0,84,5,3,3,1926,445,54,6,2,3,1971,376,41,0,10,2,290,614,376,40,81,5,115,5219,158,11,10,18,670,1082,153,11,17,9,,,,,,,
After,2,419,28,93,12,2021,2861,52,13,4,2,435,657,3,3,0,0,7,0,100,6,6,5,2075,355,44,4,4,4,990,115,11,0,4,3,0,453,416,38,78,7,60,2605,81,17,6,10,385,885,160,27,22,5,,,,,,,
After,2,492,32,86,17,,,85,23,14,3,0,0,1,2,0,2,0,0,158,2,8,9,1318,159,29,7,5,3,1167,189,13,0,1,0,0,346,517,54,74,13,108,4499,41,8,7,13,503,820,141,20,16,17,648,2095,,,,,
After,2,213,15,24,53,,,68,15,13,3,527,1111,0,0,0,0,0,0,181,6,9,4,1357,165,62,3,8,8,998,167,29,0,6,3,0,519,447,66,116,10,55,2974,89,14,16,15,315,499,125,12,18,7,435,1370,,,,,
After,2,384,21,86,21,1357,2649,64,13,9,5,429,903,0,0,0,0,194,15,191,4,6,3,1105,88,35,8,4,2,1290,213,16,0,6,1,355,348,530,51,116,13,132,5549,80,12,8,4,385,807,160,6,7,6,,,,,,,
After,2,452,38,129,16,2658,4482,57,4,6,1,0,0,15,1,1,2,0,0,140,5,5,11,1395,221,33,16,3,17,1216,245,26,0,9,0,0,368,482,43,68,8,78,4481,100,20,22,21,632,963,180,9,12,2,559,1591,,,,,
After,2,408,28,116,30,1828,2991,76,18,5,4,529,777,8,1,2,2,0,0,195,15,10,7,1406,143,87,7,13,7,2268,517,14,0,4,1,185,487,343,45,95,5,97,4243,162,7,8,2,538,993,110,9,9,2,243,1299,,,,,
After,2,298,20,42,6,776,1962,91,15,7,12,0,0,8,1,3,2,474,16,169,8,12,4,2131,249,37,13,3,9,1493,299,42,0,5,1,0,459,457,78,79,6,127,5384,161,16,17,11,703,801,131,4,13,3,589,1865,,,,,
After,2,388,15,28,17,892,1807,52,10,3,2,422,886,2,0,0,1,443,13,109,7,7,7,1705,138,49,4,2,5,1306,136,19,0,3,1,0,491,452,54,69,2,99,6081,191,21,12,6,310,710,108,21,12,6,666,2155,,,,,
After,2,470,20,61,9,1188,2519,32,5,3,5,0,0,3,5,0,3,467,16,137,4,8,3,1322,89,88,6,5,2,911,201,4,0,0,1,0,416,633,66,158,12,0,0,157,22,14,11,822,907,132,14,24,6,552,1896,,,,,
After,2,560,24,66,8,1229,3043,63,16,4,2,0,0,0,1,0,0,40,3,160,2,6,6,1534,168,30,5,0,3,1104,196,30,0,1,1,205,353,398,56,98,7,65,3585,179,30,13,20,821,994,185,8,9,2,353,1226,,,,,
After,2,495,34,82,14,0,0,39,15,5,6,624,1042,1,1,0,0,12,0,174,4,7,4,1182,90,32,5,4,4,1298,267,11,0,3,1,0,294,460,38,85,9,42,3406,231,20,21,14,0,0,157,8,9,4,,,,,,,
After,2,391,48,92,26,1833,3524,71,11,3,3,0,0,5,2,1,1,34,0,214,5,13,2,1665,142,74,14,7,10,1040,149,34,0,1,2,199,560,512,46,104,12,56,3760,100,12,14,12,768,1036,134,11,8,2,,,,,,,
After,2,372,42,78,20,2346,3444,91,9,4,4,0,0,27,3,6,1,331,9,179,10,18,7,1929,199,55,21,5,8,1871,407,32,0,5,2,223,624,663,74,98,11,75,4753,109,17,8,18,524,913,154,15,11,3,393,1358,,,,,
After,2,373,19,41,6,1024,2008,119,12,10,4,826,1061,14,2,4,0,41,4,149,9,7,11,2010,147,52,8,2,8,1466,283,23,0,3,0,200,434,624,77,80,5,75,5057,180,29,15,14,471,816,153,12,10,9,59,1651,,,,,
After,2,412,8,19,6,,,57,7,11,3,318,840,6,1,0,0,288,6,106,10,10,7,1924,131,48,3,11,3,1188,150,14,0,3,1,200,455,416,54,63,9,54,3716,199,14,4,9,612,807,132,22,19,11,69,2062,,,,,
After,2,423,25,21,13,1004,2206,51,17,6,8,775,957,5,1,0,0,29,3,187,3,2,5,1223,86,60,6,6,7,2109,369,14,0,0,0,0,369,344,49,77,8,57,4255,209,20,1,17,747,951,,,,,,,,,,,
After,2,522,27,24,11,2852,3484,94,19,11,11,964,1186,5,0,0,0,278,10,184,6,15,6,1416,199,42,10,3,2,1386,221,38,0,3,0,200,422,441,37,98,6,37,3699,214,27,5,21,1672,1342,120,10,5,1,391,1420,,,,,
After,2,536,29,60,19,,,65,12,3,5,405,845,0,0,0,0,282,6,192,4,11,3,1813,223,53,10,13,5,1802,288,37,0,2,1,621,499,351,44,78,3,55,3816,158,11,9,10,442,912,100,9,7,1,,,,,,,
After,2,492,27,114,21,4956,6442,46,10,2,4,184,712,10,3,0,0,561,10,170,5,9,4,1515,85,78,12,3,13,2009,318,14,0,4,4,650,339,385,56,59,7,52,3621,89,13,16,15,639,1019,160,16,8,6,416,1634,,,,,
After,2,447,37,108,14,2291,3827,72,11,6,4,1194,1107,7,0,1,2,27,2,224,10,15,5,1927,163,34,15,8,11,1836,276,27,0,0,0,358,94,298,77,91,7,55,4071,88,6,11,17,511,874,1520,21,21,16,1820,6076,,,,,
After,2,369,12,42,6,2088,2572,74,6,8,3,274,835,13,3,3,3,78,11,170,11,9,4,1713,119,78,8,1,8,1411,185,16,0,4,3,"1,270",291,341,52,75,10,43,4075,155,13,13,10,1030,955,1190,7,12,48,483,4148,,,,,
After,2,401,20,62,8,3189,3600,64,12,3,1,1301,1158,5,0,0,1,719,14,117,3,1,4,1420,125,49,6,2,4,2023,246,54,0,0,0,"1,800",339,380,44,95,5,81,5319,204,13,6,22,852,1006,301,15,14,58,586,2744,,,,,
After,2,497,16,43,5,2247,3495,77,22,6,2,454,962,11,1,0,1,54,6,201,12,5,3,1286,79,91,11,7,9,1262,187,4,0,1,0,"1,084",184,352,47,76,4,40,5066,193,16,10,13,1215,1141,285,19,17,54,795,2915,,,,,
After,2,433,20,102,20,2416,3686,82,19,7,10,609,1224,13,0,5,1,353,10,170,3,3,3,1092,95,77,7,2,3,836,83,18,0,6,0,432,125,282,42,52,3,32,4490,130,14,15,18,1128,964,327,10,10,30,,,,,,,
After,2,546,33,81,33,2519,3215,33,8,3,3,271,974,1,0,0,0,14,0,215,3,4,7,1383,137,74,8,4,4,2333,348,28,0,5,4,856,164,267,36,58,6,32,3873,180,26,19,10,544,845,222,5,15,12,679,2232,,,,,
After,2,527,36,126,38,3324,4136,63,13,6,5,557,775,1,0,0,1,339,8,202,2,4,0,1804,221,73,13,2,11,1397,142,38,0,3,3,474,185,391,56,86,25,51,5865,98,14,13,20,648,994,203,14,2,2,639,1923,,,,,
After,2,527,31,128,27,1934,3674,59,9,11,4,1552,889,15,0,2,2,48,8,191,6,9,3,1645,145,50,11,6,9,1638,214,13,0,7,3,"1,409",215,347,49,93,9,38,5215,105,26,12,17,784,981,172,10,8,11,,,,,,,
After,2,442,29,74,13,3247,3479,54,14,3,3,417,740,13,1,3,2,62,1,116,13,9,9,1715,105,29,7,2,4,2020,351,39,0,3,1,481,146,388,39,85,11,64,5861,174,20,14,12,999,1067,163,19,15,6,410,1961,,,,,
After,2,389,25,39,17,2219,2295,60,10,8,13,970,909,1,2,0,2,627,13,125,10,6,6,2194,184,31,12,1,7,2125,298,17,0,4,0,449,100,313,33,54,1,16,5135,113,8,12,14,1304,986,176,19,10,11,,,,,,,
After,2,490,21,65,12,1047,2102,72,14,6,6,528,875,1,0,0,1,54,2,157,12,9,13,2067,232,29,2,1,2,747,70,30,0,3,35,586,169,223,46,57,7,17,4023,143,16,8,5,624,817,135,14,9,6,1136,2565,,,,,
After,2,498,27,95,15,1863,2784,55,15,4,10,1050,1221,0,0,0,2,8,2,159,9,4,5,1052,76,55,7,0,1,1345,168,27,0,1,6,451,141,376,40,81,5,33,4813,149,24,14,10,1136,1127,134,17,6,3,637,2013,,,,,
After,2,478,45,95,39,2983,4792,39,11,3,1,266,750,2,0,0,0,10,0,175,5,3,3,1229,88,49,5,2,9,1479,205,24,0,1,0,420,146,416,38,78,7,60,8181,179,18,18,8,1552,1402,93,9,8,4,524,2114,,,,,
After,2,450,37,122,19,4522,5102,48,16,5,1,780,838,2,2,0,2,31,2,184,9,9,8,1342,89,71,10,5,19,1945,177,17,0,2,0,359,101,517,54,74,13,47,6954,112,13,15,11,1918,1182,141,22,16,13,,,,,,,
After,2,429,32,89,62,1888,3484,50,5,1,2,870,874,19,0,4,2,504,8,200,2,19,9,1724,114,20,11,2,9,1878,257,23,0,4,8,"1,103",272,447,66,116,10,48,8949,110,10,8,10,988,1409,78,13,30,34,,,,,,,
After,2,370,20,73,43,2861,3350,36,6,5,3,200,688,2,1,0,0,44,1,104,5,5,1,1745,84,32,11,2,7,1360,105,52,0,2,1,300,79,530,51,116,13,60,9317,107,10,16,27,1247,1150,132,9,21,15,708,2600,,,,,
After,2,747,59,174,148,3760,5898,69,9,7,6,1261,979,2,0,0,0,1302,25,85,6,13,8,1380,99,34,7,3,5,1267,162,31,0,4,2,341,110,482,43,68,8,30,6485,190,25,47,94,1718,1892,109,6,16,4,,,,,,,
After,2,501,31,104,15,1872,3092,53,8,6,5,515,885,10,0,0,2,58,0,169,2,4,5,1958,252,33,4,2,1,895,68,63,0,2,2,290,93,343,45,95,5,28,6932,161,30,17,13,960,877,133,15,11,7,0,2645,,,,,
After,2,452,27,72,20,1877,3091,52,10,3,3,829,1107,0,0,0,0,158,0,126,3,5,2,974,51,38,8,4,13,1021,115,19,0,4,1,898,126,457,78,79,6,32,7721,135,22,19,9,495,946,118,16,6,0,,,,,,,
After,2,545,41,88,62,3792,4042,47,7,1,3,287,866,2,0,0,0,419,8,225,13,11,5,1007,77,27,2,3,7,1510,192,12,0,7,3,818,139,452,54,69,2,24,5316,134,15,15,17,1459,1047,131,16,3,5,0,1926,,,,,
After,2,576,40,130,33,3642,4306,40,10,8,3,419,751,1,0,0,0,15,0,134,2,5,6,1477,121,74,17,14,5,1782,262,35,0,7,1,840,147,633,66,158,12,54,8377,92,14,20,12,526,986,127,12,10,2,,,,,,,
After,2,493,53,109,29,2526,3821,81,10,5,6,934,826,4,1,2,0,30,0,197,11,12,7,1902,141,61,14,6,2,2164,280,14,0,1,3,"1,363",160,398,56,98,7,45,7332,103,15,13,12,1069,1073,158,14,9,6,,,,,,,
After,2,398,35,71,36,2112,3206,59,11,9,0,497,653,4,2,1,0,31,6,111,11,8,9,2912,262,41,8,1,10,1720,125,10,0,3,0,405,71,460,38,85,9,46,7576,105,18,18,19,945,1054,156,12,12,2,0,0,,,,,
After,2,395,33,87,55,1550,2941,96,4,14,6,2237,1014,4,0,2,1,758,17,95,11,9,3,2253,188,28,7,1,2,1325,135,8,0,3,1,678,104,283,47,49,4,23,4865,134,26,27,35,1707,1559,99,18,13,5,1834,1031,,,,,
After,2,479,26,96,17,1683,2702,78,12,10,6,372,769,4,2,0,0,46,1,236,8,6,6,1336,115,42,7,1,3,1586,137,12,0,2,3,343,53,357,51,65,12,20,6172,107,21,7,9,528,794,130,20,11,7,1465,1548,,,,,
After,2,426,25,54,14,1235,2478,59,9,2,3,268,748,0,0,0,0,12,3,169,5,6,2,1181,93,48,18,7,11,1444,79,20,0,4,1,540,66,518,41,95,4,18,5716,144,21,13,8,1796,1084,138,10,21,4,1134,573,,,,,
After,2,894,40,161,21,5320,6512,40,10,2,2,277,802,1,0,0,0,7,0,173,4,7,5,969,47,43,7,4,6,1233,70,33,0,4,2,238,46,354,30,62,29,12,4989,209,22,19,19,1193,1096,133,3,5,4,1158,722,,,,,
After,2,667,57,107,24,3908,5635,61,16,12,6,1152,1182,2,0,0,0,427,10,217,3,8,3,1359,111,59,12,12,12,2036,193,57,0,7,0,730,107,442,48,111,10,25,6277,136,28,15,17,790,1095,102,8,4,2,1078,458,,,,,
After,2,476,42,88,21,3058,4304,57,11,4,3,640,756,18,3,6,1,78,2,196,8,23,6,1749,75,76,17,7,13,2326,174,33,0,3,0,"1,389",198,468,58,90,6,28,7320,168,15,17,13,1024,1079,117,13,2,4,,,,,,,
After,2,511,26,61,10,2353,2590,49,12,4,6,255,635,11,0,3,0,518,8,154,6,6,5,2277,118,29,7,0,6,0,0,41,0,1,4,"1,498",152,546,65,123,17,35,9928,249,15,25,9,657,859,128,8,8,8,1471,1003,,,,,
After,2,447,10,51,10,1519,2375,50,12,10,1,1228,931,9,1,0,0,455,8,86,5,8,1,0,0,54,6,1,4,0,0,12,0,0,0,744,96,367,38,74,5,0,0,246,14,16,8,729,814,107,17,10,8,,,,,,,
After,2,502,28,45,14,1682,2649,49,13,7,4,462,801,3,0,0,3,204,4,239,5,4,1,0,0,28,5,1,0,0,0,8,0,1,1,0,0,365,52,71,8,26,7572,223,17,15,9,1020,858,164,16,20,7,1596,1511,,,,,
After,2,652,17,71,14,,,51,10,8,4,969,1023,0,0,0,0,10,0,143,3,9,3,0,0,44,9,2,5,1104,82,20,0,5,2,0,0,414,54,84,6,18,7002,245,27,14,19,574,805,200,9,11,1,1099,674,,,,,
After,2,539,23,75,20,1687,3785,30,12,2,2,572,761,0,0,0,0,25,0,170,6,7,0,1229,159,229,75,21,92,2693,512,15,0,4,0,0,0,507,53,96,5,34,8737,229,31,15,17,1046,1105,185,18,10,4,1152,507,,,,,
After,2,491,45,89,50,2194,3932,31,10,3,13,839,636,2,0,0,1,446,7,149,3,5,8,1465,121,32,9,7,11,2045,150,33,0,3,0,313,82,549,49,134,7,31,8748,114,12,16,14,498,1036,132,12,6,0,1139,586,,,,,
After,2,427,49,83,38,2236,3629,57,7,5,8,451,726,15,0,8,2,91,5,194,3,9,5,1385,81,129,14,7,13,2504,424,9,0,1,3,987,189,494,59,104,29,17,6840,96,22,11,9,633,947,99,8,7,0,1200,1377,,,,,
After,2,383,25,60,14,1549,2420,37,4,4,8,312,633,5,0,2,0,29,13,81,9,4,9,1948,136,105,5,3,12,2192,253,31,0,3,1,603,152,564,65,133,12,25,6923,214,28,21,41,1299,1192,126,18,16,0,,,,,,,
After,2,440,26,54,15,1367,2330,67,8,6,3,1015,784,7,1,0,2,882,18,77,5,5,3,1453,101,24,8,5,5,0,0,6,0,2,6,771,173,405,30,70,10,0,0,293,21,18,16,803,1041,102,26,6,0,1648,1346,,,,,
After,2,388,21,42,11,1685,2564,107,19,8,3,1420,1154,1,0,0,1,403,4,229,4,4,1,0,0,37,5,4,7,922,100,5,0,4,4,758,172,382,23,84,3,15,5021,209,23,15,15,1290,1151,149,21,21,0,1693,1283,,,,,
After,2,745,27,86,20,2729,3968,50,10,3,3,479,896,9,0,3,0,153,0,164,8,5,4,1283,146,15,5,7,4,1583,158,26,0,8,3,0,0,448,43,52,3,0,0,351,13,21,12,813,901,145,7,13,0,,,,,,,
After,2,1153,64,140,34,4220,5665,63,15,4,3,578,906,0,0,0,0,0,0,119,7,8,3,1636,177,36,9,2,5,0,0,25,0,3,0,418,129,464,37,84,2,20,6466,663,24,13,5,884,1015,143,17,8,0,1134,597,,,,,
After,2,802,61,151,62,3418,4729,52,9,8,1,1074,818,6,0,0,26,0,0,157,5,5,5,0,0,78,12,9,11,1390,139,9,0,3,1,588,72,627,39,102,6,0,0,422,17,27,20,852,1203,100,16,7,0,1227,553,,,,,
After,2,643,39,115,51,2946,4463,54,11,15,4,294,707,4,1,2,6,0,0,251,11,8,5,1559,482,13,12,10,8,1455,139,32,0,3,2,0,0,578,50,109,10,27,6996,303,16,19,9,1463,1289,188,21,11,0,1862,873,,,,,
After,2,772,36,88,22,2335,3389,49,17,3,5,715,713,9,1,3,3,199,6,117,12,13,10,2418,611,16,14,10,9,1686,157,47,0,2,1,537,171,675,42,120,5,17,6174,516,22,11,15,828,937,178,18,7,7,1540,1686,,,,,
After,2,999,19,59,25,2018,3207,77,12,5,3,438,832,2,0,0,0,436,6,74,3,11,5,1664,301,33,3,9,5,1178,177,73,0,2,2,"1,035",194,400,30,49,2,0,0,735,19,13,14,808,769,146,12,17,12,1994,968,,,,,
After,2,1275,30,91,18,4632,5964,221,19,7,3,728,1016,1,0,0,2,29,3,159,5,3,4,983,156,47,4,22,6,0,0,5,0,1,0,674,92,330,38,56,3,5,3811,804,22,15,11,1822,1085,99,16,10,7,2359,925,,,,,
After,2,2748,123,233,36,2624,21540,51,8,4,0,1141,1166,0,0,0,0,11,0,196,3,2,1,0,0,30,7,5,4,1004,112,28,0,4,2,386,122,338,37,65,6,0,0,719,21,28,16,907,987,129,12,12,9,1498,542,,,,,
After,2,1446,89,120,57,5096,6827,13,8,3,6,0,0,0,0,0,0,11,0,126,9,4,3,1079,109,82,6,10,5,1666,145,18,0,3,1,0,0,348,36,35,4,7,2664,622,19,24,16,865,1102,83,9,4,36,1796,895,,,,,
After,2,984,65,190,55,4322,6121,28,8,4,2,0,0,6,1,0,3,0,0,244,7,13,3,1518,140,84,20,12,18,2124,374,31,0,11,0,362,89,526,38,112,7,0,0,265,23,11,17,760,1020,123,14,11,6,,,,,,,
After,2,842,64,145,40,4602,5643,78,3,10,1,0,0,26,0,8,1,68,3,203,9,11,6,1863,203,239,6,6,7,1850,221,50,0,4,2,769,154,425,49,87,13,0,0,316,14,14,17,710,897,139,15,24,10,,,,,,,
After,2,1252,44,85,31,3301,4438,99,10,10,3,494,751,8,4,0,0,460,14,137,4,3,5,1900,151,78,14,3,6,1616,193,19,0,1,1,788,141,442,42,74,7,24,6240,752,19,13,14,1235,809,146,15,13,13,,,,,,,
After,2,1105,52,74,42,2905,3781,75,9,21,7,2091,140,8,2,0,1,0,0,118,5,6,2,1561,146,51,4,5,3,1425,122,3,0,1,0,403,149,452,26,59,6,0,0,694,21,4,13,476,691,152,25,8,6,1854,1219,,,,,
After,2,1159,38,80,22,,,95,21,11,4,3670,261,3,1,0,1,27,0,175,5,5,3,1748,288,23,5,4,5,0,0,21,0,0,1,203,113,372,36,65,3,0,0,756,24,18,18,1088,891,102,10,19,11,,,,,,,
After,2,1148,56,90,16,3159,4888,50,8,10,1,1464,84,23,1,0,0,26,0,140,7,3,2,0,0,91,21,6,9,1766,282,11,0,1,1,747,132,370,34,55,4,9,5158,669,27,14,22,693,897,121,12,9,4,1537,1197,,,,,
After,2,1196,54,126,65,,,69,11,4,2,891,43,0,1,0,0,7,0,135,4,7,5,1537,175,40,6,4,6,1237,111,50,0,4,0,0,0,413,35,48,5,5,4501,614,20,10,13,794,1012,182,33,17,40,2149,1581,,,,,
After,2,879,77,169,83,5142,6237,73,10,5,6,0,0,5,0,0,1,486,14,350,6,8,4,1288,127,,,,,,,33,0,4,3,864,121,369,24,56,14,890,6091,301,14,25,14,1194,1103,124,15,11,6,1332,1107,,,,,
After,2,969,126,108,160,4129,6131,82,12,12,9,392,32,21,1,5,2,0,0,,,,,,,,,,,,,46,0,2,2,"1,028",191,495,43,110,9,10,4844,303,12,18,10,878,778,104,20,14,4,1556,1322,,,,,
After,2,938,31,33,19,3432,3824,122,5,16,8,862,64,13,0,5,2,557,7,,,,,,,,,,,,,,,,,,,538,40,90,11,19,7575,831,19,16,10,465,814,127,22,14,6,1749,920,,,,,
After,2,1016,16,58,20,2997,2756,43,13,4,7,0,0,2,0,0,0,515,6,,,,,,,,,,,,,,,,,,,267,28,46,6,11,6532,737,15,14,16,662,877,151,11,18,7,1518,1901,,,,,
After,2,1052,25,58,20,4196,4208,67,11,10,3,775,78,15,0,0,1,47,0,,,,,,,,,,,,,,,,,,,256,29,32,5,980,4170,871,20,23,26,1547,1050,180,37,23,7,1277,2012,,,,,
After,2,1085,33,60,26,4685,3826,67,6,11,4,1253,97,0,1,0,3,106,0,,,,,,,,,,,,,,,,,,,338,26,68,2,8,2854,675,15,23,24,1056,989,107,11,8,3,1272,890,,,,,
After,2,1224,51,94,30,,,49,11,8,3,653,41,0,0,0,0,499,6,,,,,,,,,,,,,,,,,,,326,33,48,4,499,3799,675,18,18,9,603,938,164,12,10,20,1410,1007,,,,,
After,2,910,69,172,49,,,61,10,12,10,1072,68,10,0,2,2,537,4,,,,,,,,,,,,,,,,,,,528,45,82,0,493,5313,362,12,11,11,939,1077,156,9,9,2,1543,1061,,,,,
